,BYOL,,,
,linear,XGBoost,MLP,RF
224,49.87% +/-0.24,76.59% +/-1.71,89.51% +/-1.23,82.30% +/-0.32
448,50.18% +/-0.54,76.94% +/-1.82,90.37% +/-1.82,82.32% +/-0.72
672,50.05% +/-0.86,75.32% +/-2.20,88.83% +/-3.62,81.38% +/-1.01
896,49.55% +/-0.89,75.45% +/-2.28,88.95% +/-1.96,80.74% +/-1.31
1120,51.28% +/-1.14,75.05% +/-2.29,88.79% +/-3.95,80.76% +/-1.78
,,,,
,BarlowTwins,,,
,linear,XGBoost,MLP,RF
224,49.83% +/-0.51,87.27% +/-1.33,95.28% +/-0.86,92.55% +/-0.20
448,50.06% +/-0.69,91.06% +/-1.23,96.49% +/-1.49,94.53% +/-0.39
672,49.64% +/-0.80,92.53% +/-1.23,88.45% +/-12.09,95.58% +/-0.55
896,50.64% +/-1.10,92.23% +/-1.56,86.34% +/-12.07,94.55% +/-0.77
1120,50.15% +/-1.40,92.22% +/-1.69,80.43% +/-14.68,94.37% +/-1.16
,,,,
,MoCo,,,
,linear,XGBoost,MLP,RF
224,49.85% +/-0.22,80.59% +/-2.23,92.64% +/-2.18,85.42% +/-0.31
448,50.05% +/-0.44,79.24% +/-1.41,81.07% +/-8.12,84.51% +/-0.70
672,50.28% +/-0.67,76.47% +/-2.11,80.76% +/-10.99,81.51% +/-1.05
896,49.42% +/-0.99,74.28% +/-2.10,80.14% +/-11.54,79.67% +/-1.29
1120,49.74% +/-1.15,72.87% +/-2.38,79.23% +/-10.97,78.81% +/-1.65
,,,,
,SimCLR,,,
,linear,XGBoost,MLP,RF
224,49.87% +/-0.25,85.66% +/-1.69,95.98% +/-0.66,92.09% +/-0.23
448,50.03% +/-0.41,88.40% +/-1.68,95.62% +/-2.43,92.09% +/-0.46
672,49.50% +/-0.73,89.08% +/-1.98,93.84% +/-5.19,91.03% +/-0.84
896,49.97% +/-1.01,88.93% +/-2.04,89.25% +/-10.15,88.80% +/-1.07
1120,49.31% +/-1.23,89.10% +/-2.09,88.23% +/-11.29,86.93% +/-1.45
,,,,
,SimSiam,,,
,linear,XGBoost,MLP,RF
224,49.81% +/-0.36,84.70% +/-1.66,94.77% +/-0.60,90.72% +/-0.29
448,50.12% +/-0.57,84.15% +/-1.88,95.37% +/-0.68,89.63% +/-0.59
672,49.83% +/-0.68,80.66% +/-2.23,94.05% +/-1.15,85.92% +/-0.92
896,50.48% +/-0.87,78.69% +/-2.23,92.94% +/-2.55,82.62% +/-1.16
1120,49.14% +/-1.44,71.66% +/-2.48,87.47% +/-5.59,77.34% +/-1.79
,,,,
,TripletBig,,,
,linear,XGBoost,MLP,RF
224,49.79% +/-0.22,82.42% +/-1.27,95.06% +/-0.77,85.76% +/-0.29
448,50.32% +/-0.37,84.41% +/-1.78,95.22% +/-3.47,90.50% +/-0.54
672,50.15% +/-0.67,85.30% +/-1.72,91.33% +/-6.21,90.54% +/-0.75
896,50.37% +/-0.93,85.43% +/-1.81,88.41% +/-8.78,91.18% +/-1.10
1120,50.33% +/-1.17,85.62% +/-2.10,86.66% +/-9.95,91.44% +/-1.51
,,,,
,Triplet,,,
,linear,XGBoost,MLP,RF
224,50.32% +/-0.32,87.08% +/-0.88,95.01% +/-0.62,92.31% +/-0.24
448,49.59% +/-0.41,87.25% +/-1.30,96.60% +/-0.93,93.15% +/-0.45
672,50.05% +/-0.59,86.14% +/-1.74,95.23% +/-2.22,92.16% +/-0.77
896,50.27% +/-0.93,83.11% +/-1.92,93.24% +/-1.95,86.60% +/-1.12
1120,50.69% +/-1.13,79.20% +/-2.39,90.19% +/-2.51,85.16% +/-1.31
,,,,
